Tamper ID,Tamper Category,Relation / Component,Artifact / Fixture,Mutation,Expected Rejection Layer,Observed Rejection Layer,Expected Result,Observed Result,Status,Error Class,Error Message Snippet,Backend,SP1 Proof Backed,Proof Generated For Original,Tampered Proof Generated,Tampered Verify Passed,Public Input Binding Checked,Dataset Root Checked,Manifest Hash Checked,Audit Report Hash Checked,Checkpoint Hash Checked,Target Sync Checked,Runtime Seconds,Git Commit,Notes
forward_td_mlp_tamper_td_target,td_target,forward_td_mlp,zk_backend/test_vectors/forward_td_mlp_case_0.json,change claimed TD target,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: target_fp mismatch: actual=957 expected=956,SP1 Forward-TD MLP,True,True,False,False,False,False,False,False,False,False,0.000106,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_bias_after,checkpoint_hash,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change post-checkpoint commitment,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: post_model_commitment mismatch: actual='1111111111111111111111111111111111111111111111111111111111111111' expected='bbf63fa4fde94f33b52daaf44622931963e0bbd8464bd125,SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,0.000115,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_bias_before,checkpoint_hash,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change pre-checkpoint commitment,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: pre_model_commitment mismatch: actual='0000000000000000000000000000000000000000000000000000000000000000' expected='2f630e5b3dac38f89d32ad2a55ab2d42ee5901347c68b4678,SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,9.9e-05,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_gradient,gradient,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change gradient tensor,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: gradient_tensors mismatch: actual=[{'weight': [[1, 0, 0, 0], [1, -2, -1, -1], [-1, 3, 2, 2], [-3, 8, 5, 6], [0, -2, -1, -1], [0, 1, 0, 0], [0, -2, -1, -1], [0, 1, 0",SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,0.000107,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_learning_rate,gradient,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change learning-rate public input,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: delta_tensors mismatch: actual=[{'weight': [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]], 'bias':",SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,0.0001,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_public_input_checkpoint_or_update_hash,proof_public_input,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change update hash public input,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,AssertionError,"AssertionError: delta_tensors mismatch: actual=[{'weight': [[1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]], 'bias':",SP1 one-step SGD tiny,True,True,False,False,True,False,False,False,True,False,9.5e-05,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_weight_after,checkpoint_hash,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change post-update weight,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: post_model_commitment mismatch: actual='bbf63fa4fde94f33b52daaf44622931963e0bbd8464bd125d70736d1f0afdb65' expected='52b3bef8b5b37c5115cdcf4389ec992610be95d06e1dfb66,SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,9.5e-05,,reused existing SP1 provenance tamper_report.json
one_step_sgd_tiny_tamper_weight_before,checkpoint_hash,one_step_sgd_tiny,zk_backend/test_vectors/one_step_sgd_tiny_case_0.json,change pre-update weight,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,AssertionError,AssertionError: pre_model_commitment mismatch: actual='2f630e5b3dac38f89d32ad2a55ab2d42ee5901347c68b4678f4d7555eceba800' expected='802a3727052df43493519282cb93cb71a8aeac0d7f5aa92bf,SP1 one-step SGD tiny,True,True,False,False,False,False,False,False,False,False,9.6e-05,,reused existing SP1 provenance tamper_report.json
tamper_action_before_commit,action,dataset_provenance,dataset_provenance,change action before commitment,dataset_audit,dataset_audit,reject,rejected,rejected_as_expected,ValueError,ValueError: raw_trajectory_hash does not match raw_episodes.jsonl,Python semantic oracle,False,,,,False,False,False,False,False,False,0.00154,,
tamper_aggregation_aggregate_root_t128,proof_public_input,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change aggregate root,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000135,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_aggregate_root_t32,proof_public_input,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change aggregate root,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000138,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_aggregate_root_t64,proof_public_input,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change aggregate root,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000117,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_checkpoint_link_t128,checkpoint_hash,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,break online checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,True,False,0.000113,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_checkpoint_link_t32,checkpoint_hash,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,break online checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,True,False,0.00012,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_checkpoint_link_t64,checkpoint_hash,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,break online checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,True,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_proof_hash_t128,proof_public_input,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change child proof manifest hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000122,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_proof_hash_t32,proof_public_input,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change child proof manifest hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000126,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_proof_hash_t64,proof_public_input,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change child proof manifest hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000118,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_public_inputs_hash_t128,proof_public_input,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change child public inputs hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000133,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_public_inputs_hash_t32,proof_public_input,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change child public inputs hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000138,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_child_public_inputs_hash_t64,proof_public_input,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change child public inputs hash,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,aggregate_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000122,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_chunk_order_t128,minibatch_index,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change chunk order,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,chunk order mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_chunk_order_t32,minibatch_index,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change chunk order,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,chunk order mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000122,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_chunk_order_t64,minibatch_index,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change chunk order,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,chunk order mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000117,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_config_hash_t128,manifest_hash,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change config hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,config_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,True,False,False,False,0.000113,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_config_hash_t32,manifest_hash,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change config hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,config_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,True,False,False,False,0.00012,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_config_hash_t64,manifest_hash,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change config hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,config_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,True,False,False,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_dataset_root_t128,dataset_root,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change aggregate dataset root,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,dataset_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,True,False,False,False,False,0.000114,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_dataset_root_t32,dataset_root,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change aggregate dataset root,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,dataset_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,True,False,False,False,False,0.000123,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_dataset_root_t64,dataset_root,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change aggregate dataset root,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,dataset_root mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,True,False,False,False,False,0.000136,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_public_input_final_checkpoint_t128,proof_public_input,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change public final checkpoint,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,output_checkpoint_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000113,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_public_input_final_checkpoint_t32,proof_public_input,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change public final checkpoint,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,output_checkpoint_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_public_input_final_checkpoint_t64,proof_public_input,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change public final checkpoint,public_input_binding,public_input_binding,reject,rejected,rejected_as_expected,TamperRejected,output_checkpoint_hash mismatch,SP1 proof-manifest aggregation,True,True,False,False,True,False,False,False,True,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_end_t128,minibatch_index,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change aggregate step_end,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000118,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_end_t32,minibatch_index,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change aggregate step_end,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000121,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_end_t64,minibatch_index,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change aggregate step_end,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000131,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_start_t128,minibatch_index,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,change aggregate step_start,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000114,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_start_t32,minibatch_index,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,change aggregate step_start,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000116,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_step_start_t64,minibatch_index,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,change aggregate step_start,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,aggregate step span mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,False,0.000115,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_target_checkpoint_link_t128,target_network_sync,training_aggregation_manifest_t128,zk_backend/test_vectors/training_aggregation_t128_case_0.json,break target checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,target checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,True,0.000118,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_target_checkpoint_link_t32,target_network_sync,training_aggregation_manifest_t32,zk_backend/test_vectors/training_aggregation_t32_case_0.json,break target checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,target checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,True,0.000125,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_aggregation_target_checkpoint_link_t64,target_network_sync,training_aggregation_manifest_t64,zk_backend/test_vectors/training_aggregation_t64_case_0.json,break target checkpoint link,python_semantic_oracle,rust_execute,reject,rejected,rejected_as_expected,TamperRejected,target checkpoint link mismatch,SP1 proof-manifest aggregation,True,True,False,False,False,False,False,False,False,True,0.00012,,"proof-manifest-chain mode; child proofs are bound by hash, not verified in-guest (see the recursive rows for in-guest verification); reused existing SP1 provenance tamper_report.json"
tamper_audit_report_hash,audit_report_hash,dataset_commitment,dataset_commitment,modify replay_audit_report.json after commitment,dataset_commitment_verify,dataset_commitment_verify,reject,rejected,rejected_as_expected,DatasetCommitmentError,audit_report_hash mismatch between replay_audit_report.json and dataset_manifest.json; audit_report_hash mismatch between replay_audit_report.json and merkle_tree.json,Python semantic oracle,False,,,,False,False,False,True,False,False,0.001629,,
tamper_collection_log_final_hash,collection_log_final_hash,dataset_commitment,dataset_commitment,modify collection_log.jsonl after commitment,dataset_commitment_verify,dataset_commitment_verify,reject,rejected,rejected_as_expected,DatasetCommitmentError,collection log invalid: current hash mismatch at row 0,Python semantic oracle,False,,,,False,False,False,False,False,False,0.001646,,
tamper_dataset_root,dataset_root,dataset_commitment,dataset_commitment,modify merkle_tree.json dataset_root,dataset_commitment_verify,dataset_commitment_verify,reject,rejected,rejected_as_expected,DatasetCommitmentError,dataset_root mismatch between rebuilt tree and merkle_tree.json,Python semantic oracle,False,,,,False,True,False,False,False,False,0.001702,,
tamper_done_before_commit,done,dataset_provenance,dataset_provenance,flip terminated flag before commitment,dataset_audit,dataset_audit,reject,rejected,rejected_as_expected,ValueError,ValueError: raw_trajectory_hash does not match raw_episodes.jsonl,Python semantic oracle,False,,,,False,False,False,False,False,False,0.001567,,
tamper_fragment_config_hash_k1,manifest_hash,training_fragment_k1,zk_backend/test_vectors/training_fragment_k1_case_0.json,change config/provenance hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,provenance witness mismatch,SP1 training fragment,True,True,False,False,False,False,True,False,False,False,0.000133,,reused existing SP1 provenance tamper_report.json
tamper_fragment_config_hash_k4,manifest_hash,training_fragment_k4,zk_backend/test_vectors/training_fragment_k4_case_0.json,change config/provenance hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,provenance witness mismatch,SP1 training fragment,True,True,False,False,False,False,True,False,False,False,0.000127,,reused existing SP1 provenance tamper_report.json
tamper_fragment_config_hash_k8,manifest_hash,training_fragment_k8,zk_backend/test_vectors/training_fragment_k8_case_0.json,change config/provenance hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,provenance witness mismatch,SP1 training fragment,True,True,False,False,False,False,True,False,False,False,0.000132,,reused existing SP1 provenance tamper_report.json
tamper_fragment_final_checkpoint_hash_k1,checkpoint_hash,training_fragment_k1,zk_backend/test_vectors/training_fragment_k1_case_0.json,change final checkpoint hash,python_semantic_oracle,python_semantic_oracle,reject,rejected,rejected_as_expected,TamperRejected,final_checkpoint_hash mismatch,SP1 training fragment,True,True,False,False,False,False,False,False,True,False,0.00013,,reused existing SP1 provenance tamper_report.json
